merchant_id,business_category,region,country,account_created,account_age_months,pricing_tier,monthly_volume_usd,avg_transaction_size,cross_border_enabled,churn_risk_score,has_premium_support,integration_type,dispute_rate,refund_rate
MC74D97B01EAE,Retail,North America,CA,2019-07-27,79,preferred,11380.95,24.1,False,0.217,True,Hosted,0.0049,0.0836
M70EFDF2EC9B0,Software/SaaS,North America,US,2025-10-23,3,standard,1062.15,169.43,False,0.2912,False,API,0.0115,0.1098
M6F4922F45568,Travel,North America,MX,2020-04-22,70,standard,8490.73,202.14,False,0.1643,False,Hosted,0.0393,0.0851
M1F0E3DAD9990,Gaming,North America,CA,2025-03-27,10,standard,2774.38,47.56,False,0.1035,False,API,0.0036,0.0109
M98F137082101,Healthcare,Latin America,BR,2025-06-25,7,preferred,17751.33,3.48,True,0.2817,True,Plugin,0.0102,0.0235
M3C59DC048E88,Education,North America,US,2024-05-31,20,preferred,17679.52,87.81,True,0.1135,True,API,0.0032,0.0256
MB6D767D2F8ED,E-commerce,North America,CA,2021-08-15,54,standard,4906.46,41.99,False,0.0355,False,Plugin,0.0303,0.0391
M37693CFC7480,Services,Europe,IT,2024-12-27,13,standard,2649.99,55.66,False,0.3267,False,SDK,0.0055,0.0622
M1FF1DE774005,Education,MEA,SA,2025-08-24,5,standard,1092.33,295.84,True,0.0709,False,API,0.0139,0.0276
M8E296A067A37,Healthcare,Asia Pacific,JP,2025-05-26,8,preferred,42983.97,63.36,False,0.0673,True,Plugin,0.0333,0.0505
M4E732CED3463,Services,Asia Pacific,KR,2025-11-22,2,preferred,23169.94,21.11,False,0.1677,True,API,0.0538,0.1035
M02E74F10E032,Software/SaaS,North America,CA,2024-08-29,17,preferred,23628.26,419.58,False,0.1963,True,Hosted,0.0041,0.0095
M33E75FF09DD6,E-commerce,Asia Pacific,IN,2025-04-26,9,standard,9532.77,6.03,False,0.4199,False,Plugin,0.0136,0.0143
M6EA9AB1BAA0E,Digital Goods,North America,MX,2024-12-27,13,standard,862.76,26.17,False,0.1886,False,API,0.0402,0.0245
M34173CB38F07,E-commerce,North America,CA,2023-09-04,29,standard,8300.36,77.58,False,0.0756,False,API,0.0051,0.1998
MC16A5320FA47,Travel,Asia Pacific,SG,2025-06-25,7,standard,7574.13,35.85,True,0.3614,False,API,0.0253,0.022
M6364D3F0F495,Entertainment,Europe,DE,2022-12-08,38,standard,5608.94,145.39,True,0.0712,False,SDK,0.0342,0.071
M182BE0C5CDCD,Services,North America,US,2025-09-23,4,standard,1168.24,19.2,True,0.2425,False,API,0.0211,0.0439
ME369853DF766,Travel,Asia Pacific,SG,2024-05-01,21,standard,3225.55,62.84,False,0.2803,False,Hosted,0.032,0.0878
M1C383CD30B7C,E-commerce,Europe,DE,2024-05-31,20,standard,437.9,18.09,False,0.0829,False,Hosted,0.0112,0.0157
M19CA14E7EA63,Healthcare,Asia Pacific,KR,2022-09-09,41,preferred,11945.58,20.07,False,0.0808,True,Plugin,0.015,0.2098
MA5BFC9E07964,E-commerce,Europe,IT,2021-05-17,57,standard,1241.22,103.93,False,0.2452,False,Plugin,0.0323,0.0257
MA5771BCE93E2,Entertainment,Latin America,BR,2025-10-23,3,standard,1499.78,21.6,False,0.0181,False,Hosted,0.0219,0.0102
MD67D8AB4F4C1,Gaming,Latin America,AR,2025-06-25,7,standard,256.84,21.33,False,0.1673,False,Hosted,0.0228,0.0913
MD645920E395F,Services,Latin America,AR,2021-04-17,58,preferred,79830.99,419.34,True,0.1277,True,API,0.0076,0.1391
M3416A75F4CEA,Software/SaaS,North America,CA,2021-01-17,61,standard,2467.63,7.17,False,0.1178,False,SDK,0.0199,0.0868
MA1D0C6E83F02,E-commerce,Europe,UK,2025-04-26,9,standard,2538.62,32.05,False,0.1765,False,API,0.0315,0.0015
M17E62166FC85,Services,North America,US,2025-03-27,10,standard,3865.74,85.76,True,0.1826,False,Hosted,0.0192,0.0216
MF7177163C833,Food & Delivery,North America,CA,2022-10-09,40,standard,8695.27,11.23,True,0.1298,False,Plugin,0.0002,0.0833
M6C8349CC7260,Healthcare,Asia Pacific,IN,2025-03-27,10,standard,1648.37,91.44,False,0.3844,False,API,0.0607,0.0688
MD9D4F495E875,Food & Delivery,North America,CA,2023-05-07,33,standard,4967.3,99.79,False,0.0421,False,SDK,0.0282,0.0537
M67C6A1E7CE56,Digital Goods,North America,CA,2025-09-23,4,preferred,35242.95,9.21,True,0.6691,True,Hosted,0.0021,0.0632
M642E92EFB794,Food & Delivery,Europe,DE,2024-12-27,13,standard,894.76,32.94,False,0.0425,False,SDK,0.0316,0.0641
MF457C545A9DE,Gaming,Europe,FR,2022-08-10,42,preferred,10930.02,103.97,False,0.3222,True,Hosted,0.0261,0.0443
MC0C7C76D30BD,Education,Europe,UK,2021-05-17,57,preferred,13155.96,9.48,True,0.1804,True,API,0.0183,0.0545
M2838023A778D,Services,North America,MX,2025-03-27,10,standard,398.45,20.52,False,0.2513,False,Hosted,0.0243,0.0627
M9A1158154DFA,Services,Europe,DE,2025-12-22,1,standard,2242.98,444.84,True,0.1901,False,SDK,0.0021,0.1421
MD82C8D1619AD,Gaming,North America,CA,2025-04-26,9,standard,178.69,26.74,False,0.0575,False,Plugin,0.0272,0.0318
MA684ECEEE76F,Travel,MEA,NG,2025-02-25,11,standard,1560.33,16.36,False,0.4208,False,Hosted,0.019,0.0363
MB53B3A3D6AB9,Gaming,MEA,NG,2025-12-22,1,standard,6438.51,14.11,False,0.3238,False,SDK,0.0015,0.0423
M9F61408E3AFB,Subscription,Asia Pacific,AU,2024-06-30,19,standard,961.62,75.22,False,0.1613,False,Hosted,0.0178,0.0457
M72B32A1F754B,Digital Goods,North America,CA,2022-07-11,43,standard,3038.45,34.69,False,0.1235,False,SDK,0.0285,0.0316
M66F041E16A60,Retail,North America,CA,2020-03-23,71,standard,586.55,20.49,False,0.2032,False,Plugin,0.0642,0.0752
M093F65E080A2,Digital Goods,North America,MX,2022-09-09,41,standard,3547.87,36.88,False,0.031,False,API,0.0037,0.0389
M072B030BA126,Software/SaaS,Asia Pacific,AU,2022-02-11,48,preferred,11525.61,28.26,False,0.1717,True,API,0.0368,0.0601
M7F39F8317FBD,Gaming,Europe,ES,2024-11-27,14,standard,3199.63,58.25,False,0.1222,False,API,0.0142,0.1144
M44F683A84163,Retail,Latin America,CL,2024-09-28,16,preferred,10525.4,148.92,False,0.1731,True,API,0.007,0.0498
M03AFDBD66E79,Travel,Europe,DE,2018-07-02,92,preferred,14772.16,25.18,False,0.0623,True,Hosted,0.0236,0.0758
MEA5D2F1C4608,Healthcare,Europe,FR,2021-07-16,55,preferred,10692.46,26.52,False,0.22,True,Hosted,0.0246,0.0099
MFC490CA45C00,Travel,Latin America,BR,2023-12-03,26,enterprise,320817.35,37.34,True,0.1227,True,SDK,0.0048,0.0637
M3295C76ACBF4,Food & Delivery,Asia Pacific,IN,2025-12-22,1,preferred,14142.79,6.47,False,0.2081,True,Plugin,0.0051,0.1085
M735B90B45681,Entertainment,Latin America,CL,2024-01-02,25,standard,5266.41,15.86,False,0.0117,False,Hosted,0.0024,0.1045
MA3F390D88E4C,Healthcare,Europe,FR,2021-10-14,52,standard,3936.56,6.98,False,0.0297,False,Hosted,0.0039,0.0294
M14BFA6BB1487,Services,Europe,NL,2025-07-25,6,standard,1935.16,34.88,True,0.1231,False,API,0.0018,0.0178
M7CBBC409EC99,Food & Delivery,North America,US,2022-01-12,49,standard,3226.24,15.92,True,0.4038,False,Hosted,0.0032,0.0495
ME2C420D928D4,Software/SaaS,Latin America,BR,2025-12-22,1,standard,4049.3,10.56,False,0.2667,False,SDK,0.0044,0.1024
M32BB90E8976A,Healthcare,North America,CA,2024-12-27,13,standard,4589.4,72.96,True,0.4372,False,API,0.0218,0.0939
MD2DDEA18F006,Healthcare,Europe,UK,2025-06-25,7,standard,458.49,90.91,True,0.0842,False,Plugin,0.0155,0.0411
MAD61AB143223,Software/SaaS,Europe,NL,2023-05-07,33,standard,257.0,25.72,False,0.0815,False,API,0.0494,0.0615
MD09BF41544A3,Gaming,North America,MX,2024-06-30,19,standard,1023.07,30.99,True,0.1568,False,Plugin,0.034,0.0255
MFBD7939D6749,Retail,Asia Pacific,IN,2025-11-22,2,preferred,10037.83,124.62,False,0.3078,True,API,0.0084,0.0517
M28DD2C7955CE,Travel,Asia Pacific,IN,2024-11-27,14,standard,1237.43,9.6,False,0.1089,False,SDK,0.0164,0.0306
M35F4A8D465E6,Services,North America,US,2017-05-08,106,preferred,18991.74,93.94,False,0.2074,True,SDK,0.0487,0.1131
MD1FE173D08E9,Retail,Europe,NL,2025-02-25,11,standard,3482.43,66.78,False,0.1535,False,Hosted,0.0064,0.0661
MF033AB37C302,Healthcare,North America,US,2025-08-24,5,standard,1218.53,3.2,True,0.0898,False,Plugin,0.0004,0.0249
M43EC517D68B6,Digital Goods,North America,MX,2022-01-12,49,standard,5607.82,10.23,False,0.343,False,Hosted,0.0085,0.0049
M9778D5D219C5,Education,Latin America,AR,2024-08-29,17,preferred,12267.88,43.27,False,0.4591,True,SDK,0.0016,0.0895
MFE9FC289C3FF,Retail,Europe,UK,2024-05-01,21,standard,188.09,84.08,True,0.1564,False,SDK,0.0014,0.0754
M68D30A959472,Software/SaaS,North America,CA,2025-12-22,1,standard,155.52,26.75,True,0.2864,False,Plugin,0.001,0.0342
M3EF815416F77,Travel,Europe,UK,2025-06-25,7,standard,1310.83,68.73,True,0.1363,False,SDK,0.0304,0.0939
M93DB85ED909C,Software/SaaS,Asia Pacific,AU,2025-07-25,6,standard,3088.62,12.25,False,0.0421,False,SDK,0.0363,0.0184
MC7E1249FFC03,E-commerce,Europe,UK,2024-03-02,23,standard,2313.16,39.12,False,0.1927,False,API,0.0337,0.0261
M2A38A4A9316C,Services,Europe,FR,2025-10-23,3,preferred,31946.75,22.98,True,0.2219,True,API,0.0579,0.0184
M7647966B7343,E-commerce,Asia Pacific,IN,2025-02-25,11,preferred,21384.27,89.66,False,0.2428,True,SDK,0.0051,0.1096
M8613985EC49E,Subscription,North America,CA,2025-03-27,10,standard,2938.65,32.21,True,0.0684,False,API,0.0027,0.0748
M54229ABFCFA5,Services,Latin America,CO,2025-07-25,6,standard,1816.74,23.34,False,0.2094,False,Hosted,0.0046,0.053
M92CC227532D1,Entertainment,North America,CA,2017-10-05,101,standard,5200.85,59.52,True,0.1506,False,SDK,0.0254,0.1231
M98DCE83DA57B,Travel,Europe,DE,2024-05-31,20,standard,990.16,120.06,True,0.1643,False,Hosted,0.0275,0.0433
MF4B9EC30AD9F,Travel,North America,CA,2022-06-11,44,preferred,14840.79,53.27,False,0.1606,True,SDK,0.0109,0.0511
M812B4BA287F5,Travel,Europe,ES,2025-08-24,5,standard,1014.78,37.58,False,0.158,False,Hosted,0.0202,0.0278
M26657D5FF902,E-commerce,North America,CA,2023-09-04,29,standard,8818.01,24.46,True,0.1357,False,API,0.0176,0.0833
ME2EF524FBF3D,Retail,Asia Pacific,SG,2023-05-07,33,standard,5870.37,38.13,True,0.1563,False,Plugin,0.0078,0.0827
MED3D2C21991E,Subscription,North America,CA,2023-06-06,32,standard,53.02,52.92,True,0.1482,False,Plugin,0.0146,0.0286
MAC627AB1CCBD,Digital Goods,North America,US,2024-08-29,17,standard,190.99,47.05,True,0.0081,False,Plugin,0.0079,0.0625
MF899139DF5E1,Food & Delivery,North America,MX,2025-07-25,6,standard,427.75,14.54,False,0.0362,False,SDK,0.0751,0.1505
M38B3EFF8BAF5,Travel,Europe,NL,2024-10-28,15,standard,512.99,81.77,False,0.1507,False,SDK,0.0011,0.0619
MEC8956637A99,Healthcare,North America,MX,2023-03-08,35,standard,9935.01,161.19,False,0.2067,False,Hosted,0.0019,0.0376
M6974CE5AC660,Services,Europe,FR,2025-01-26,12,standard,3956.97,130.12,False,0.0526,False,API,0.0651,0.136
MC9E1074F5B3F,Gaming,North America,CA,2025-09-23,4,preferred,21717.06,90.33,False,0.2062,True,Plugin,0.0028,0.0213
M65B9EEA6E1CC,Food & Delivery,MEA,SA,2024-11-27,14,preferred,20173.14,60.13,False,0.5042,True,API,0.0337,0.1041
MF0935E4CD592,Education,North America,CA,2025-10-23,3,preferred,14655.75,10.57,False,0.1998,True,Hosted,0.0245,0.0343
MA97DA629B098,Healthcare,Asia Pacific,JP,2023-12-03,26,standard,2683.1,9.85,True,0.1122,False,Hosted,0.0507,0.0694
MA3C65C297427,Travel,Europe,FR,2025-01-26,12,standard,2324.92,19.39,False,0.0901,False,Plugin,0.0067,0.0789
M2723D092B638,Software/SaaS,North America,MX,2024-02-01,24,preferred,79041.65,268.08,False,0.2508,True,API,0.0056,0.051
M5F93F983524D,E-commerce,North America,CA,2023-11-03,27,standard,763.04,18.95,True,0.1889,False,Hosted,0.0216,0.0309
M698D51A19D8A,Healthcare,Europe,UK,2023-11-03,27,preferred,10086.38,5.31,True,0.3524,True,API,0.0038,0.0935
M7F6FFAA6BB0B,Services,Asia Pacific,SG,2023-12-03,26,standard,6729.07,82.01,True,0.1175,False,API,0.0189,0.0619
M73278A4A8696,E-commerce,Europe,NL,2024-03-02,23,standard,958.64,15.61,True,0.0988,False,SDK,0.0008,0.0279
M5FD0B37CD7DB,Travel,North America,MX,2025-11-22,2,standard,3461.14,76.05,False,0.3725,False,Hosted,0.0076,0.0657
M2B44928AE11F,Healthcare,Europe,ES,2025-01-26,12,standard,2432.4,27.99,False,0.0789,False,Plugin,0.0212,0.0495
MC45147DEE729,Education,Europe,FR,2024-06-30,19,standard,707.41,27.81,False,0.0482,False,API,0.0121,0.0298
MEB160DE1DE89,Education,Europe,ES,2022-11-08,39,standard,6389.07,16.56,True,0.2692,False,API,0.0082,0.2512
M5EF059938BA7,Software/SaaS,Europe,FR,2025-03-27,10,standard,6255.2,112.41,False,0.2457,False,Hosted,0.0022,0.0505
M07E1CD7DCA89,Food & Delivery,North America,MX,2025-01-26,12,standard,2264.56,41.64,False,0.3845,False,SDK,0.0022,0.0438
MDA4FB5C6E93E,Subscription,North America,MX,2024-11-27,14,standard,226.47,62.48,False,0.1232,False,API,0.0186,0.071
M4C56FF4CE4AA,Food & Delivery,Asia Pacific,AU,2024-02-01,24,preferred,69992.84,29.79,False,0.245,True,API,0.0227,0.1031
MA0A080F42E6F,Services,Asia Pacific,JP,2021-11-13,51,preferred,51824.8,7.78,True,0.1618,True,Hosted,0.011,0.0353
M202CB962AC59,Software/SaaS,Europe,IT,2024-09-28,16,standard,2086.15,341.46,False,0.116,False,API,0.0125,0.082
MC8FFE9A587B1,Entertainment,Europe,DE,2025-03-27,10,standard,4504.23,7.85,False,0.3106,False,Plugin,0.0308,0.0981
M3DEF184AD8F4,Travel,North America,MX,2025-02-25,11,preferred,14284.59,4.98,True,0.2252,True,SDK,0.03,0.0128
M069059B7EF84,E-commerce,Asia Pacific,SG,2025-12-22,1,preferred,16905.5,8.31,False,0.3412,True,Plugin,0.0117,0.1525
MEC5DECCA5ED3,Digital Goods,North America,CA,2024-07-30,18,standard,2539.5,46.3,True,0.2367,False,Hosted,0.0088,0.032
M76DC611D6EBA,Food & Delivery,North America,CA,2024-09-28,16,standard,7101.78,11.55,False,0.1483,False,Plugin,0.0117,0.0885
MD1F491A404D6,Gaming,Europe,DE,2025-09-23,4,preferred,60582.32,36.19,True,0.3548,True,API,0.0289,0.0519
M9B8619251A19,Retail,Europe,DE,2024-01-02,25,standard,2424.92,17.79,False,0.0945,False,Plugin,0.0043,0.1125
M1AFA34A7F984,Healthcare,Europe,IT,2023-10-04,28,preferred,12860.98,55.39,False,0.3603,True,API,0.0211,0.0595
M65DED5353C5E,E-commerce,North America,CA,2025-05-26,8,standard,8123.42,19.09,False,0.1717,False,Plugin,0.0028,0.0517
M9FC3D7152BA9,Travel,North America,CA,2024-05-01,21,standard,1184.74,64.73,False,0.2553,False,SDK,0.0066,0.0333
M02522A2B2726,Education,Europe,DE,2024-05-01,21,preferred,87577.01,45.85,True,0.1181,True,API,0.0182,0.1548
M7F1DE29E6DA1,Digital Goods,North America,US,2020-03-23,71,preferred,54374.66,51.92,False,0.2815,True,API,0.0009,0.1171
M42A0E188F503,Entertainment,MEA,SA,2025-05-26,8,standard,2456.21,30.48,True,0.4486,False,API,0.0382,0.1047
M3988C7F88EBC,Entertainment,Europe,NL,2024-02-01,24,standard,7393.6,15.97,True,0.1631,False,SDK,0.0258,0.0726
M013D407166EC,Gaming,Asia Pacific,IN,2020-11-18,63,preferred,12475.45,21.07,True,0.0344,True,API,0.0065,0.0136
ME00DA03B685A,Education,Europe,IT,2025-06-25,7,standard,1163.56,14.82,False,0.0239,False,API,0.0202,0.1547
M1385974ED590,Education,North America,MX,2025-05-26,8,preferred,10361.7,83.23,False,0.1967,True,SDK,0.0052,0.0281
M0F28B5D49B30,Entertainment,Latin America,BR,2024-12-27,13,preferred,26901.6,95.44,False,0.2122,True,SDK,0.001,0.0418
MA8BAA56554F9,Software/SaaS,Europe,ES,2024-07-30,18,standard,1174.08,10.5,False,0.0596,False,Hosted,0.0471,0.1096
M903CE9225FCA,Healthcare,Europe,UK,2025-01-26,12,standard,1664.03,71.9,False,0.4113,False,SDK,0.0686,0.0726
M0A09C8844BA8,Services,North America,US,2020-09-19,65,preferred,10965.77,30.75,False,0.1586,True,SDK,0.0006,0.0175
M2B24D495052A,Travel,Europe,UK,2025-01-26,12,preferred,18490.79,22.22,False,0.2941,True,Hosted,0.0345,0.0345
MA5E00132373A,Gaming,Europe,IT,2024-08-29,17,standard,9949.19,132.52,False,0.196,False,Plugin,0.0276,0.105
M8D5E957F2978,Gaming,Latin America,CL,2021-05-17,57,standard,2311.06,65.13,False,0.1699,False,Plugin,0.0187,0.032
M47D1E990583C,Retail,North America,CA,2025-01-26,12,standard,4244.4,55.76,False,0.3641,False,Plugin,0.0079,0.0405
MF2217062E9A3,Travel,North America,US,2025-07-25,6,standard,3348.81,13.17,False,0.1309,False,Plugin,0.0211,0.0361
M7EF605FC8DBA,Gaming,Europe,NL,2024-01-02,25,standard,958.89,18.94,True,0.1485,False,Hosted,0.0361,0.0566
MA8F15EDA80C5,Education,North America,MX,2025-05-26,8,preferred,18607.98,14.42,False,0.2977,True,SDK,0.0242,0.0645
M37A749D808E4,Services,Europe,FR,2024-04-01,22,preferred,38223.68,43.1,True,0.281,True,Plugin,0.0007,0.0106
MB3E3E393C77E,E-commerce,Latin America,CL,2022-08-10,42,preferred,28656.64,88.02,False,0.1073,True,API,0.0348,0.0303
M1D7F7ABC18FC,Food & Delivery,Asia Pacific,IN,2024-06-30,19,standard,6299.63,33.13,False,0.0689,False,SDK,0.011,0.0172
M2A79EA27C279,Subscription,Asia Pacific,SG,2022-09-09,41,standard,4776.73,214.78,True,0.0727,False,Hosted,0.0022,0.0326
M1C9AC0159C94,Education,Europe,UK,2024-08-29,17,standard,2470.82,33.59,False,0.1682,False,SDK,0.0127,0.0396
M6C4B761A28B7,E-commerce,Europe,IT,2025-08-24,5,standard,1200.51,159.53,False,0.1432,False,API,0.0216,0.0465
M06409663226A,Education,North America,MX,2025-06-25,7,preferred,14760.85,3.22,True,0.3634,True,SDK,0.0101,0.1128
M140F6969D521,Services,North America,CA,2024-07-30,18,standard,5159.47,24.54,False,0.2203,False,API,0.0129,0.1096
MB73CE398C39F,Travel,Asia Pacific,JP,2024-09-28,16,standard,2317.08,5.43,False,0.1927,False,Plugin,0.0128,0.0315
MBD4C9AB730F5,Food & Delivery,MEA,NG,2024-06-30,19,preferred,14544.93,11.27,True,0.1379,True,SDK,0.0016,0.1542
M82AA4B0AF34C,Education,North America,MX,2022-07-11,43,standard,2376.47,18.56,False,0.2059,False,Hosted,0.0372,0.063
M0777D5C17D40,Education,Latin America,BR,2025-08-24,5,standard,6919.07,213.71,True,0.4922,False,SDK,0.0213,0.0384
MFA7CDFAD1A5A,E-commerce,Europe,ES,2023-07-06,31,standard,6897.74,11.23,True,0.2613,False,Hosted,0.006,0.07
M9766527F2B5D,Entertainment,Europe,NL,2025-11-22,2,standard,733.1,42.97,True,0.2924,False,SDK,0.0007,0.0897
M7E7757B1E12A,Retail,North America,CA,2021-09-14,53,preferred,12473.72,45.43,False,0.0976,True,Plugin,0.0314,0.1391
M5878A7AB84FB,Travel,MEA,ZA,2025-02-25,11,standard,8621.69,42.08,True,0.1549,False,API,0.0133,0.0432
M006F52E9102A,Digital Goods,North America,US,2023-04-07,34,preferred,56716.89,8.17,True,0.0799,True,SDK,0.0041,0.0781
M363663881777,Healthcare,Asia Pacific,AU,2025-10-23,3,standard,1152.77,8.92,True,0.2229,False,Hosted,0.0161,0.0287
M149E9677A598,Digital Goods,North America,CA,2023-01-07,37,preferred,42026.32,707.65,False,0.2575,True,API,0.0387,0.1367
MA4A042CF4FD6,Entertainment,Europe,ES,2025-06-25,7,standard,1619.98,62.15,True,0.2097,False,Plugin,0.1176,0.0554
M1FF8A7B5DC7A,Digital Goods,Asia Pacific,IN,2025-02-25,11,standard,161.02,63.84,True,0.0882,False,API,0.0067,0.061
MF7E6C85504CE,Food & Delivery,North America,US,2025-06-25,7,standard,1593.1,60.04,True,0.2199,False,SDK,0.0418,0.0604
MBF8229696F7A,Education,Asia Pacific,KR,2024-09-28,16,standard,1200.01,93.3,False,0.2902,False,API,0.0085,0.0382
M82161242827B,Healthcare,Europe,IT,2017-01-08,110,preferred,10883.87,1.19,False,0.0825,True,SDK,0.0468,0.0505
M38AF86134B65,Entertainment,North America,US,2022-09-09,41,preferred,56233.16,90.26,True,0.1499,True,Hosted,0.0037,0.0605
M96DA2F590CD7,Gaming,Latin America,CO,2024-05-31,20,standard,1875.71,114.23,False,0.3033,False,SDK,0.0927,0.0792
M8F8551796779,E-commerce,Asia Pacific,KR,2021-12-13,50,standard,9973.54,10.14,True,0.233,False,API,0.0553,0.0693
M8F53295A7387,Gaming,Asia Pacific,JP,2023-08-05,30,preferred,17336.84,38.14,False,0.0961,True,Plugin,0.0194,0.1461
M045117B0E0A1,Travel,North America,US,2023-02-06,36,standard,2145.5,19.39,False,0.127,False,API,0.0212,0.0415
MFC2213097460,Entertainment,Asia Pacific,JP,2025-05-26,8,standard,261.58,181.79,True,0.0909,False,Plugin,0.0535,0.0648
M4C5BDE74A8F1,Entertainment,MEA,SA,2025-05-26,8,preferred,15283.48,46.01,False,0.2282,True,SDK,0.0044,0.1062
MCEDEBB6E872F,Gaming,Europe,DE,2025-07-25,6,standard,4697.17,13.85,True,0.384,False,API,0.0055,0.1231
M6CDD60EA0045,E-commerce,North America,CA,2020-06-21,68,standard,952.75,46.91,False,0.1934,False,API,0.0288,0.0067
MEECCA5B6365D,Services,North America,MX,2023-12-03,26,preferred,65856.91,12.68,True,0.3023,True,Hosted,0.0022,0.0299
M9872ED9FC22F,Retail,Asia Pacific,SG,2023-12-03,26,standard,2687.89,130.08,True,0.0644,False,Hosted,0.0058,0.0542
M31FEFC0E570C,E-commerce,Asia Pacific,SG,2025-02-25,11,standard,999.61,21.31,False,0.3859,False,Hosted,0.0035,0.1214
M9DCB88E01376,Gaming,North America,CA,2023-10-04,28,standard,3083.59,49.81,False,0.0839,False,Plugin,0.0172,0.0542
MA2557A7B2E94,E-commerce,North America,MX,2025-06-25,7,standard,4036.44,163.38,False,0.2639,False,SDK,0.0069,0.1
MCFECDB276F63,Digital Goods,North America,CA,2025-08-24,5,standard,3938.06,33.73,False,0.2325,False,Plugin,0.0397,0.0927
M0AA1883C6411,Entertainment,Asia Pacific,SG,2021-08-15,54,standard,7771.33,5.92,False,0.1702,False,API,0.0396,0.0668
M58A2FC6ED39F,Gaming,North America,MX,2025-02-25,11,preferred,15787.08,20.61,False,0.1819,True,Plugin,0.006,0.0153
MBD686FD640BE,Education,Asia Pacific,AU,2025-08-24,5,standard,54.25,97.83,True,0.4879,False,API,0.0089,0.0889
MA597E50502F5,Software/SaaS,North America,CA,2022-01-12,49,standard,3603.57,19.69,False,0.1837,False,Plugin,0.0347,0.0276
M0336DCBAB05B,E-commerce,Europe,NL,2025-07-25,6,standard,3237.2,62.53,False,0.2785,False,API,0.0129,0.0954
M084B6FBB1072,Food & Delivery,Europe,FR,2024-09-28,16,standard,7339.3,12.71,False,0.4095,False,SDK,0.0106,0.0415
M85D8CE590AD8,Retail,MEA,NG,2021-09-14,53,standard,1913.93,43.83,True,0.0874,False,SDK,0.0021,0.0523
M0E65972DCE68,Food & Delivery,MEA,AE,2016-05-13,118,preferred,24803.89,5.33,False,0.2828,True,Hosted,0.0161,0.0602
M84D9EE44E457,Software/SaaS,Europe,DE,2025-05-26,8,standard,1787.04,15.29,False,0.4766,False,API,0.0024,0.0884
M3644A684F98E,Entertainment,Europe,DE,2023-03-08,35,standard,889.54,31.33,False,0.0833,False,API,0.0012,0.0265
M757B505CFD34,Services,Latin America,CO,2025-09-23,4,preferred,20204.27,11.35,False,0.2793,True,API,0.0054,0.0518
M854D6FAE5EE4,Retail,North America,CA,2022-06-11,44,standard,6374.09,29.01,False,0.1025,False,Hosted,0.0407,0.1204
ME2C0BE24560D,Services,Europe,NL,2024-10-28,15,standard,1177.83,40.54,False,0.204,False,SDK,0.0142,0.0571
M274AD4786C3A,Travel,Latin America,BR,2023-08-05,30,standard,553.41,37.88,False,0.0507,False,Hosted,0.0265,0.0222
MEAE27D77CA20,E-commerce,North America,MX,2017-06-07,105,standard,165.02,46.43,False,0.1734,False,Hosted,0.0252,0.0291
